Treatment,Exp,Genotype,Tank,FvFm,Heatload30.5
34.3,CBASS,LK31,9,0.166,5.4
34.3,CBASS,LK41,9,0.354,5.4
34.3,CBASS,LK50,9,0.149,5.4
34.3,CBASS,LK62,9,0.274,5.4
34.3,CBASS,LK7,9,0.29,5.4
34.3,CBASS,UK12,9,0.303,5.4
34.3,CBASS,UK19,9,0.285,5.4
34.3,CBASS,UK70,9,0.286,5.4
34.3,CBASS,UK76,9,0.23,5.4
34.3,CBASS,UK80,9,0.229,5.4
30.2,CBASS,LK31,10,0.597,0
30.2,CBASS,LK41,10,0.587,0
30.2,CBASS,LK50,10,0.591,0
30.2,CBASS,LK62,10,0.597,0
30.2,CBASS,LK7,10,0.579,0
30.2,CBASS,UK12,10,0.577,0
30.2,CBASS,UK19,10,0.563,0
30.2,CBASS,UK70,10,0.541,0
30.2,CBASS,UK76,10,0.576,0
30.2,CBASS,UK80,10,0.598,0
35.6,CBASS,LK31,11,0.057,5.73
35.6,CBASS,LK41,11,0.058,5.73
35.6,CBASS,LK50,11,0.068,5.73
35.6,CBASS,LK62,11,0.1,5.73
35.6,CBASS,LK7,11,0.066,5.73
35.6,CBASS,UK12,11,0.122,5.73
35.6,CBASS,UK19,11,0.157,5.73
35.6,CBASS,UK70,11,0.115,5.73
35.6,CBASS,UK76,11,0.09,5.73
35.6,CBASS,UK80,11,0.112,5.73
28.9,CBASS,LK31,12,0.599,0
28.9,CBASS,LK41,12,0.584,0
28.9,CBASS,LK50,12,0.595,0
28.9,CBASS,LK62,12,0.571,0
28.9,CBASS,LK7,12,0.586,0
28.9,CBASS,UK12,12,0.578,0
28.9,CBASS,UK19,12,0.551,0
28.9,CBASS,UK70,12,0.581,0
28.9,CBASS,UK76,12,0.582,0
28.9,CBASS,UK80,12,0.574,0
31.6,CBASS,LK31,13,0.581,4.28
31.6,CBASS,LK41,13,0.599,4.28
31.6,CBASS,LK50,13,0.582,4.28
31.6,CBASS,LK62,13,0.563,4.28
31.6,CBASS,LK7,13,0.573,4.28
31.6,CBASS,UK12,13,0.567,4.28
31.6,CBASS,UK19,13,0.561,4.28
31.6,CBASS,UK70,13,0.555,4.28
31.6,CBASS,UK76,13,0.577,4.28
31.6,CBASS,UK80,13,0.575,4.28
27.5,CBASS,LK31,14,0.589,0
27.5,CBASS,LK41,14,0.58,0
27.5,CBASS,LK50,14,0.574,0
27.5,CBASS,LK62,14,0.568,0
27.5,CBASS,LK7,14,0.574,0
27.5,CBASS,UK12,14,0.599,0
27.5,CBASS,UK19,14,0.577,0
27.5,CBASS,UK70,14,0.579,0
27.5,CBASS,UK76,14,0.574,0
27.5,CBASS,UK80,14,0.577,0
32.9,CBASS,LK31,15,0.477,4.92
32.9,CBASS,LK41,15,0.566,4.92
32.9,CBASS,LK50,15,0.519,4.92
32.9,CBASS,LK62,15,0.521,4.92
32.9,CBASS,LK7,15,0.567,4.92
32.9,CBASS,UK12,15,0.564,4.92
32.9,CBASS,UK19,15,0.558,4.92
32.9,CBASS,UK70,15,0.559,4.92
32.9,CBASS,UK76,15,0.541,4.92
32.9,CBASS,UK80,15,0.523,4.92
37,CBASS,LK31,16,0,6.08
37,CBASS,LK41,16,0,6.08
