Day,Treatment,Exp,Genotype,Tank,FvFm,Heatload30.5,RealTemp,Region
1,27,Control,LK31,2,0.602,0,26.7,Lower Keys
1,27,Control,LK41,2,0.476,0,26.7,Lower Keys
1,27,Control,LK50,2,0.54,0,26.7,Lower Keys
1,27,Control,LK62,2,0.582,0,26.7,Lower Keys
1,27,Control,LK7,2,0.567,0,26.7,Lower Keys
1,27,Control,UK12,2,0.606,0,26.7,Upper Keys
1,27,Control,UK19,2,0.568,0,26.7,Upper Keys
1,27,Control,UK70,2,0.578,0,26.7,Upper Keys
1,27,Control,UK76,2,0.582,0,26.7,Upper Keys
1,27,Control,UK80,2,0.565,0,26.7,Upper Keys
1,27,Control,LK31,4,0.603,0,26.7,Lower Keys
1,27,Control,LK41,4,0.574,0,26.7,Lower Keys
1,27,Control,LK50,4,0.618,0,26.7,Lower Keys
1,27,Control,LK62,4,0.626,0,26.7,Lower Keys
1,27,Control,LK7,4,0.632,0,26.7,Lower Keys
1,27,Control,UK12,4,0.623,0,26.7,Upper Keys
1,27,Control,UK19,4,0.59,0,26.7,Upper Keys
1,27,Control,UK70,4,0.615,0,26.7,Upper Keys
1,27,Control,UK76,4,0.59,0,26.7,Upper Keys
1,27,Control,UK80,4,0.606,0,26.7,Upper Keys
1,27,Control,LK31,6,0.594,0,26.7,Lower Keys
1,27,Control,LK41,6,0.536,0,26.7,Lower Keys
1,27,Control,LK50,6,0.621,0,26.7,Lower Keys
1,27,Control,LK62,6,0.623,0,26.7,Lower Keys
1,27,Control,LK7,6,0.619,0,26.7,Lower Keys
1,27,Control,UK12,6,0.582,0,26.7,Upper Keys
1,27,Control,UK19,6,0.598,0,26.7,Upper Keys
1,27,Control,UK70,6,0.583,0,26.7,Upper Keys
1,27,Control,UK76,6,0.574,0,26.7,Upper Keys
1,27,Control,UK80,6,0.612,0,26.7,Upper Keys
1,27,Control,LK31,7,0.628,0,26.7,Lower Keys
1,27,Control,LK41,7,0.579,0,26.7,Lower Keys
1,27,Control,LK50,7,0.625,0,26.7,Lower Keys
1,27,Control,LK62,7,0.628,0,26.7,Lower Keys
1,27,Control,LK7,7,0.609,0,26.7,Lower Keys
1,27,Control,UK12,7,0.608,0,26.7,Upper Keys
1,27,Control,UK19,7,0.6333,0,26.7,Upper Keys
1,27,Control,UK70,7,0.602,0,26.7,Upper Keys
1,27,Control,UK76,7,0.613,0,26.7,Upper Keys
1,27,Control,UK80,7,0.598,0,26.7,Upper Keys
1,27,Control,LK31,10,0.592,0,26.8,Lower Keys
1,27,Control,LK41,10,0.534,0,26.8,Lower Keys
1,27,Control,LK50,10,0.623,0,26.8,Lower Keys
1,27,Control,LK62,10,0.57,0,26.8,Lower Keys
1,27,Control,LK7,10,0.595,0,26.8,Lower Keys
