PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210619_CBASS2_RW6N,2021_June_19,54629,11,32,2,27.50,28.94,28.94,CHL,27.50,29.12,29.12,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,
20210619_CBASS2_RW6N,2021_June_19,62428,11,32,15,27.50,28.94,28.94,CHL,27.50,29.12,29.12,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,
20210619_CBASS2_RW6N,2021_June_19,75852,11,32,23,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.19,29.19,CHL,27.50,29.00,29.00,CHL,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210619_CBASS2_RW6N,2021_June_19,55866,11,33,48,27.50,28.94,28.94,CHL,27.50,29.06,29.06,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,63678,11,34,2,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,77101,11,34,9,27.50,28.94,28.94,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,84731,11,34,17,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,92366,11,34,25,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,99997,11,34,32,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,107629,11,34,40,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,115262,11,34,48,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,122898,11,34,55,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,130530,11,35,9,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,143954,11,35,16,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,151587,11,35,24,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,159223,11,35,32,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,166856,11,35,39,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,27.50,28.94,28.94,CHL,
20210619_CBASS2_RW6N,2021_June_19,174489,11,35,47,27.50,29.00,29.00,CHL,27.50,29.12,29.12,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,182122,11,35,55,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,189758,11,36,2,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,197389,11,36,16,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,210813,11,36,23,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,218446,11,36,31,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,226083,11,36,39,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,233717,11,36,46,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,241350,11,36,54,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,248983,11,37,1,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.87,28.87,CHL,
20210619_CBASS2_RW6N,2021_June_19,256640,11,37,9,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,264270,11,37,23,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,277700,11,37,30,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,285346,11,37,38,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,292982,11,37,45,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,300615,11,37,53,27.50,29.00,29.00,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,308248,11,38,1,27.50,29.00,29.00,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,315879,11,38,8,27.50,28.94,28.94,CHL,27.50,29.06,29.06,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,323514,11,38,16,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,331147,11,38,29,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,344572,11,38,37,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.81,28.81,CHL,
20210619_CBASS2_RW6N,2021_June_19,352208,11,38,45,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,359840,11,38,52,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,367473,11,39,0,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,375105,11,39,8,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,382740,11,39,15,27.50,28.94,28.94,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,390373,11,39,23,27.50,28.87,28.87,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,398005,11,39,36,27.50,28.87,28.87,CHL,27.50,29.00,29.00,CHL,27.50,28.87,28.87,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,411431,11,39,44,27.50,28.87,28.87,CHL,27.50,29.00,29.00,CHL,27.50,28.81,28.81,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,419067,11,39,52,27.50,28.87,28.87,CHL,27.50,29.00,29.00,CHL,27.50,28.81,28.81,CHL,27.50,28.75,28.75,CHL,
20210619_CBASS2_RW6N,2021_June_19,426699,11,39,59,27.50,28.87,28.87,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,434332,11,40,7,27.50,28.87,28.87,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
