Exp,Experiment,Genotype,Tank,Treatment,FvFm,HP,TotalChl,Region,initialFvFm,Rep,ED
CBASS-35.6,CBASS,AC31,C1,35.6,0,,,Lower Keys,,1,34
CBASS-35.6,CBASS,AC41,C1,35.6,0.1,,,Lower Keys,,1,34.44
CBASS-35.6,CBASS,AC50,C1,35.6,0.13,,,Lower Keys,,1,34.04
CBASS-35.6,CBASS,AC62,C1,35.6,0.084,,,Lower Keys,,1,34.15
CBASS-35.6,CBASS,AC7,C1,35.6,0.155,,,Lower Keys,,1,34.58
CBASS-35.6,CBASS,CU12,C1,35.6,0.171,,,Upper Keys,,1,34.72
CBASS-35.6,CBASS,CU19,C1,35.6,0.073,,,Upper Keys,,1,34.62
CBASS-35.6,CBASS,CU70,C1,35.6,0.13,,,Upper Keys,,1,34.54
CBASS-35.6,CBASS,CU76,C1,35.6,0.145,,,Upper Keys,,1,34.47
CBASS-35.6,CBASS,CU80,C1,35.6,0.116,,,Upper Keys,,1,34.23
CBASS-32.9,CBASS,AC31,C2,32.9,0.466,,,Lower Keys,,1,34
CBASS-32.9,CBASS,AC41,C2,32.9,0.464,,,Lower Keys,,1,34.44
CBASS-32.9,CBASS,AC50,C2,32.9,0.457,,,Lower Keys,,1,34.04
CBASS-32.9,CBASS,AC62,C2,32.9,0.509,,,Lower Keys,,1,34.15
CBASS-32.9,CBASS,AC7,C2,32.9,0.462,,,Lower Keys,,1,34.58
CBASS-32.9,CBASS,CU12,C2,32.9,0.531,,,Upper Keys,,1,34.72
CBASS-32.9,CBASS,CU19,C2,32.9,0.487,,,Upper Keys,,1,34.62
CBASS-32.9,CBASS,CU70,C2,32.9,0.446,,,Upper Keys,,1,34.54
CBASS-32.9,CBASS,CU76,C2,32.9,0.507,,,Upper Keys,,1,34.47
CBASS-32.9,CBASS,CU80,C2,32.9,0.453,,,Upper Keys,,1,34.23
CBASS-27.5,CBASS,AC31,C3,27.5,0.588,,,Lower Keys,,1,34
CBASS-27.5,CBASS,AC41,C3,27.5,0.579,,,Lower Keys,,1,34.44
CBASS-27.5,CBASS,AC50,C3,27.5,0.499,,,Lower Keys,,1,34.04
CBASS-27.5,CBASS,AC62,C3,27.5,0.575,,,Lower Keys,,1,34.15
CBASS-27.5,CBASS,AC7,C3,27.5,0.576,,,Lower Keys,,1,34.58
CBASS-27.5,CBASS,CU12,C3,27.5,0.58,,,Upper Keys,,1,34.72
CBASS-27.5,CBASS,CU19,C3,27.5,0.552,,,Upper Keys,,1,34.62
CBASS-27.5,CBASS,CU70,C3,27.5,0.557,,,Upper Keys,,1,34.54
CBASS-27.5,CBASS,CU76,C3,27.5,0.572,,,Upper Keys,,1,34.47
CBASS-27.5,CBASS,CU80,C3,27.5,0.563,,,Upper Keys,,1,34.23
CBASS-30.2,CBASS,AC31,C4,30.2,0.552,,,Lower Keys,,1,34
CBASS-30.2,CBASS,AC41,C4,30.2,0.529,,,Lower Keys,,1,34.44
CBASS-30.2,CBASS,AC50,C4,30.2,0.573,,,Lower Keys,,1,34.04
CBASS-30.2,CBASS,AC62,C4,30.2,0.563,,,Lower Keys,,1,34.15
CBASS-30.2,CBASS,AC7,C4,30.2,0.522,,,Lower Keys,,1,34.58
CBASS-30.2,CBASS,CU12,C4,30.2,0.534,,,Upper Keys,,1,34.72
CBASS-30.2,CBASS,CU19,C4,30.2,0.554,,,Upper Keys,,1,34.62
CBASS-30.2,CBASS,CU70,C4,30.2,0.509,,,Upper Keys,,1,34.54
CBASS-30.2,CBASS,CU76,C4,30.2,0.508,,,Upper Keys,,1,34.47
CBASS-30.2,CBASS,CU80,C4,30.2,0.542,,,Upper Keys,,1,34.23
CBASS-34.3,CBASS,AC31,C5,34.3,0.217,,,Lower Keys,,1,34
CBASS-34.3,CBASS,AC41,C5,34.3,0.257,,,Lower Keys,,1,34.44
CBASS-34.3,CBASS,AC50,C5,34.3,0.277,,,Lower Keys,,1,34.04
CBASS-34.3,CBASS,AC62,C5,34.3,0.205,,,Lower Keys,,1,34.15
CBASS-34.3,CBASS,AC7,C5,34.3,0.315,,,Lower Keys,,1,34.58
CBASS-34.3,CBASS,CU12,C5,34.3,0.423,,,Upper Keys,,1,34.72
CBASS-34.3,CBASS,CU19,C5,34.3,0.373,,,Upper Keys,,1,34.62
CBASS-34.3,CBASS,CU70,C5,34.3,0.252,,,Upper Keys,,1,34.54
CBASS-34.3,CBASS,CU76,C5,34.3,0.277,,,Upper Keys,,1,34.47
CBASS-34.3,CBASS,CU80,C5,34.3,0.223,,,Upper Keys,,1,34.23
CBASS-28.9,CBASS,AC31,C6,28.9,0.562,,,Lower Keys,,1,34
CBASS-28.9,CBASS,AC41,C6,28.9,0.578,,,Lower Keys,,1,34.44
CBASS-28.9,CBASS,AC50,C6,28.9,0.563,,,Lower Keys,,1,34.04
CBASS-28.9,CBASS,AC62,C6,28.9,0.586,,,Lower Keys,,1,34.15
CBASS-28.9,CBASS,AC7,C6,28.9,0.551,,,Lower Keys,,1,34.58
CBASS-28.9,CBASS,CU12,C6,28.9,0.595,,,Upper Keys,,1,34.72
CBASS-28.9,CBASS,CU19,C6,28.9,0.524,,,Upper Keys,,1,34.62
CBASS-28.9,CBASS,CU70,C6,28.9,0.55,,,Upper Keys,,1,34.54
CBASS-28.9,CBASS,CU76,C6,28.9,0.548,,,Upper Keys,,1,34.47
CBASS-28.9,CBASS,CU80,C6,28.9,0.56,,,Upper Keys,,1,34.23
CBASS-37,CBASS,AC31,C7,37,0,,,Lower Keys,,1,34
CBASS-37,CBASS,AC41,C7,37,0,,,Lower Keys,,1,34.44
CBASS-37,CBASS,AC50,C7,37,0,,,Lower Keys,,1,34.04
CBASS-37,CBASS,AC62,C7,37,0,,,Lower Keys,,1,34.15
CBASS-37,CBASS,AC7,C7,37,0,,,Lower Keys,,1,34.58
CBASS-37,CBASS,CU12,C7,37,0,,,Upper Keys,,1,34.72
CBASS-37,CBASS,CU19,C7,37,0,,,Upper Keys,,1,34.62
CBASS-37,CBASS,CU70,C7,37,0,,,Upper Keys,,1,34.54
CBASS-37,CBASS,CU76,C7,37,0,,,Upper Keys,,1,34.47
CBASS-37,CBASS,CU80,C7,37,0,,,Upper Keys,,1,34.23
CBASS-31.6,CBASS,AC31,C8,31.6,0.527,,,Lower Keys,,1,34
CBASS-31.6,CBASS,AC41,C8,31.6,0.516,,,Lower Keys,,1,34.44
CBASS-31.6,CBASS,AC50,C8,31.6,0.482,,,Lower Keys,,1,34.04
CBASS-31.6,CBASS,AC62,C8,31.6,0.529,,,Lower Keys,,1,34.15
CBASS-31.6,CBASS,AC7,C8,31.6,0.49,,,Lower Keys,,1,34.58
CBASS-31.6,CBASS,CU12,C8,31.6,0.489,,,Upper Keys,,1,34.72
CBASS-31.6,CBASS,CU19,C8,31.6,0.435,,,Upper Keys,,1,34.62
CBASS-31.6,CBASS,CU70,C8,31.6,0.482,,,Upper Keys,,1,34.54
CBASS-31.6,CBASS,CU76,C8,31.6,0.503,,,Upper Keys,,1,34.47
CBASS-31.6,CBASS,CU80,C8,31.6,0.457,,,Upper Keys,,1,34.23
CBASS-34.3,CBASS,AC31,C9,34.3,0.166,44.991,7.153,Lower Keys,,2,34
CBASS-34.3,CBASS,AC41,C9,34.3,0.354,86.963,4.758,Lower Keys,,2,34.44
CBASS-34.3,CBASS,AC50,C9,34.3,0.149,36.358,6.022,Lower Keys,,2,34.04
CBASS-34.3,CBASS,AC62,C9,34.3,0.274,42.969,2.563,Lower Keys,,2,34.15
CBASS-34.3,CBASS,AC7,C9,34.3,0.29,54.685,6.801,Lower Keys,,2,34.58
CBASS-34.3,CBASS,CU12,C9,34.3,0.303,12.6,1.513,Upper Keys,,2,34.72
CBASS-34.3,CBASS,CU19,C9,34.3,0.285,56.304,3.857,Upper Keys,,2,34.62
CBASS-34.3,CBASS,CU70,C9,34.3,0.286,88.713,8.374,Upper Keys,,2,34.54
CBASS-34.3,CBASS,CU76,C9,34.3,0.23,70.357,3.603,Upper Keys,,2,34.47
CBASS-34.3,CBASS,CU80,C9,34.3,0.229,27.255,6.517,Upper Keys,,2,34.23
CBASS-30.2,CBASS,AC31,C10,30.2,0.597,33.027,9.84,Lower Keys,,2,34
CBASS-30.2,CBASS,AC41,C10,30.2,0.587,65.767,12.499,Lower Keys,,2,34.44
CBASS-30.2,CBASS,AC50,C10,30.2,0.591,45.218,10.844,Lower Keys,,2,34.04
CBASS-30.2,CBASS,AC62,C10,30.2,0.597,27.751,13.057,Lower Keys,,2,34.15
CBASS-30.2,CBASS,AC7,C10,30.2,0.579,37.067,13.271,Lower Keys,,2,34.58
CBASS-30.2,CBASS,CU12,C10,30.2,0.577,40.905,11.108,Upper Keys,,2,34.72
CBASS-30.2,CBASS,CU19,C10,30.2,0.563,50.972,8.852,Upper Keys,,2,34.62
CBASS-30.2,CBASS,CU70,C10,30.2,0.541,99.329,14.262,Upper Keys,,2,34.54
CBASS-30.2,CBASS,CU76,C10,30.2,0.576,28.99,6.629,Upper Keys,,2,34.47
CBASS-30.2,CBASS,CU80,C10,30.2,0.598,30.586,22.473,Upper Keys,,2,34.23
CBASS-35.6,CBASS,AC31,C11,35.6,0.057,35.47,5.54,Lower Keys,,2,34
CBASS-35.6,CBASS,AC41,C11,35.6,0.058,24.623,3.78,Lower Keys,,2,34.44
CBASS-35.6,CBASS,AC50,C11,35.6,0.068,17.681,1.358,Lower Keys,,2,34.04
CBASS-35.6,CBASS,AC62,C11,35.6,0.1,27.713,2.471,Lower Keys,,2,34.15
CBASS-35.6,CBASS,AC7,C11,35.6,0.066,47.184,3.37,Lower Keys,,2,34.58
